incident_type,location,date,time,summary,disposition,interesting,month_year
Assist Other Agency,Trolley - Central Campus Station,5/9/25,9:22 PM,"MTS security requesting officer assistance, subject refusing to sign citation",Will Cooperate,f,May-25
Suspicious Person,Ola Parking,5/9/25,9:32 PM,Caller saw subject steal a bike,Field Interview,f,May-25
UC Policy Violation,Scholars Dr N,5/9/25,10:18 PM,Group of skaters,Will Cooperate,f,May-25
Grand Theft,Innovation Ln,5/9/25,10:57 PM,"Secured bicycle stolen, loss $1,300.00",Report Taken,f,May-25
Vandalism,Mandeville Center,5/9/25,11:25 PM,"Graffiti inside stairwell, damage $200.00",Report Taken,f,May-25
Welfare Check,La Jolla Village Dr,5/9/25,11:38 PM,Driver possibly asleep at wheel near Mobile Gas Station,Referred to Other Agency,f,May-25
Suspicious Person,Lot P510,5/9/25,11:46 PM,Subject pulling on car door handles,Field Interview,t,May-25
Attempted Assault,UCSD Medical Center - Hillcrest,5/9/25,5:50 PM,Visitor attempted to swing stick at Security Agent,Hospital Incident Report Generated,t,May-25
Simple Assault,UCSD Medical Center - Hillcrest,5/9/25,12:41 PM,Patient spat at hospital staff,Hospital Incident Report Generated,f,May-25
"Disturbance, Noise",RYA,5/10/25,12:03 AM,Loud Music,Quiet on Arrival,f,May-25
"Disturbance, Noise",CRESTA,5/10/25,12:41 AM,Loud Music,Student Conduct Referral,f,May-25
"Disturbance, Noise",Black Apartments,5/10/25,1:17 AM,Loud Music,Gone on Arrival,f,May-25
Unknown Trouble,Mesa Apartments South,5/10/25,11:41 AM,Reporting party advised received an SOS button activation from vehicle,Unable To Locate,t,May-25
"Disturbance, General",Geisel Library,5/10/25,4:24 PM,Reporting Party wants to complain about security guards,Information Only,t,May-25
Theft Of Personal Property - Micro Mobility Device,Trolley- Central Campus,5/10/25,6:00 PM - 7:50 PM,"Secured electric scooter stolen, loss is $300.00",Report Taken,f,May-25
Suspicious Person,Gilman Parking Structure,5/10/25,8:39 PM,2 subjects possibly attempting to break into a vehicle,Checks Ok,t,May-25
Welfare Check,Thornton Pavilion,5/10/25,10:57 PM,Reporting party is concerned for some activity at home in San Diego,Referred To Other Agency,t,May-25
Attempted Simple Assault,UCSD Hillcrest Thornton,5/10/25,6:40 PM,Patient attempting leave and being resistive with security,Hospital Incident Report Generated,f,May-25
Noise Disturbance,Mesa Apartments Central,5/11/25,12:16 AM,Neighbor playing loud music,Referred to Student Conduct,f,May-25
Trespass,Thornton Pavilion,5/11/25,5:00 AM,Patient discharged and refusing to leave,Service Provided,t,May-25
Animal Call,Miramar Street,5/11/25,6:24 AM,Reporting party's cat climbed into vending machine,Logged Event,t,May-25
Welfare Check,La Jolla Health Station,5/11/25,8:26 AM,Subject sleeping on the ground,Disposition Checks Ok,f,May-25
Grand Theft,Thurgood Marshall Res Hall,5/11/25,Unknown,"Secured bicycle stolen; loss $1,000.00",Report Taken,f,May-25
Protective Custody/Disorderly Conduct alcohol,The Jeannie,5/11/25,4:45 PM,Subject over-intoxicated in public,Detention Only,t,May-25
Unknown Trouble,Athena Parking,5/11/25,7:16 PM,Reporting received an SOS activation from vehicle,Checks Ok,t,May-25
Suspicious Person,Rita Atkinson Residences,5/11/25,9:16 PM,RA wants to speak with USO regarding a non-affiliate male entering building,Information Only,f,May-25
Petty Theft - Micro Mobility,Central Trolley,5/11/25,Unknown,Secured electric scooter stolen; loss $500.00,Online Report Filed,f,May-25
Information,Parking Lot P510,5/11/25,10:31 PM,RP was riding scooter in bike lane when vehicle speed past him while honking at him,Information Only,f,May-25
UC Policy Violation,Artesa,5/11/25,10:50 PM,Residents at location urinating out their window,Referred to Student Conduct,f,May-25
Trespass,Rimac,5/11/25,11:21 PM,Males refusing to leave,Will Cooperate,t,May-25
"Disturbance, Noise",Asia Hall,5/12/25,12:05 AM,Subjects moving furniture,Quiet on Arrival,t,May-25
"Disturbance, General",Price Center East,5/12/25,8:40 AM,Male harassing the staff at bakery next and took some bread,Gone On Arrival,t,May-25
Welfare Check,Earth Hall North,5/12/25,10:06 AM,Patient sent message yesterday about having violent thoughts,Checks Ok,t,May-25
Lost Property,RYA,5/12/25,11:15 AM,Lost Passport,Information Only,f,May-25
Suspicious Circumstances,Rita Atkinson Residences,5/12/25,Unknown,"RP believes she was ""set-up by a classmate to be kidnapped or human trafficked",Report Taken,t,May-25
Suspicious Circumstances,Tuolumne Apartments,5/12/25,9:40 PM,Resident advised she feels unsafe in her room following a verbal dispute with roommates boyfriend,Report Taken,t,May-25
Traffic Hazard,Hidden Valley On Soledad,5/12/25,3:21 PM,Broken down construction truck,Referred to Other Agency,f,May-25
Suspicious Person/ Stay Away Order Issuance,Gilman Parking Structure,5/12/25,5:00 PM - 10:05 PM,Male charging multiple phones in computer area,Detention Only,t,May-25
Petty Theft,Gilman Dr.,5/12/25,7:10 PM - 8:10 PM,"Secured bike stolen, loss is $250.00",Report Taken,f,May-25
Welfare Check,Trolley- La Jolla Health Station,5/13/25,1:28 AM,Rp thinks she has been kidnapped saying she needs transportation,Service Provided,t,May-25
Welfare Check,Trolley- La Jolla Health Station,5/13/25,1:39 AM,Female in a blanket yelling,Checks Ok,f,May-25
Citizen Assist,Trolley- La Jolla Health Station,5/13/25,2:03 AM,"Rp is security, female causing a disturbance in the ER cursing at medical staff",Checks Ok,f,May-25
Suspicious Person,Franklin Antonio Hall,5/13/25,6:30 AM,Male making comments to rp about naked photos,Field Interview,t,May-25
Citizen Assist,Interstate 5 NB Off Ramp/ Genesee Ave,5/13/25,7:49 AM,"Rp ran out of gas on the fwy, asking for assistance",Referred to Other Agency,t,May-25
Petty Theft-Micro Mobility Device,Exploration Dr.,5/13/25,1:00 PM - 12:30 AM,Electric scooter stolen; loss is $499.00,Online Report Taken,f,May-25
Trespass,Price Center,5/13/25,9:46 AM,Unhoused female inside the building,Information Only,f,May-25
Disorderly Conduct; Alcohol/Obstruct Resist Peace Officer/Stay Away Order Issuance,Price Center - Food court,5/13/25,9:35 PM - 1:13 AM,Subject approaching students and aggressively trying to encourage students to drink by pouring alcohol into their cups,Detention Only,t,May-25
Petty Theft-Micro Mobility Device,Exploration Dr.,5/13/25,1:00 PM - 12:30 AM,Electric scooter stolen; loss is $499.00,Online Report Filed,f,May-25
"Disturbance, Noise",Tapestry,5/14/25,12:06 AM,Playing the trumpet,Quiet On Arrival,f,May-25
"Disturbance, Noise",Argo Hall,5/14/25,2:06 AM,Loud yelling,Quiet on Arrival,f,May-25
Possession of Marijuana,Catalyst,5/14/25,2:36 AM,Odor of marijuana in unit,Student Conduct Referral,f,May-25
Illegal Camping,Geisel Library,5/14/25,6:47 AM,Female stayed overnight in the library,Unable to Locate,t,May-25
"Disturbance, General","Trolley, La Jolla Health Station",5/14/25,8:08 AM,"Rp at flix bust stop, bma 60'a tried to take the rp's bags when he left them unattended",Unable To Locate,t,May-25
Preserve The Peace,Trolley- La Jolla Health Station,5/14/25,8:44 AM,"Rp says there is a bma and hma watching him, says he is scared",Service Provided,t,May-25
Vandalism,Parking Lot P782,5/14/25,10:49 AM,"Mobile clinic parked overnight, tagging in permanent pink marker",Report Taken,f,May-25
Trespass,Caminito Avola,5/14/25,11:04 AM,HOA president in his backyard and refusing to leave,Referred to Other Agency,t,May-25
Indecent Exposure,Regents Rd./La Jolla Village Dr.,5/14/25,11:17 AM,Unhoused female standing in the center median with her pants down,Referred to Other Agency,f,May-25
Petty Theft,Center Hall,5/14/25,3:00 PM - 8:00 AM,"Theft from vendor tent, loss is $20.00",Report Taken,f,May-25
Grand Theft,Price Center West,5/14/25,4:00 PM - 4:05 PM,"Cellphone taken without the owners consent, loss is $1000.00",Report Taken,t,May-25
UC Policy Violation,Exploration Dr./ Scholars Dr.,5/14/25,7:37 PM,Group of 4 students having a bbq with an open flame at location,Checks Ok,f,May-25
Report Of Battery,Parking Lot P401,5/14/25,8:40 PM,Rp advised a group of subj's attacked him at location 8 years ago,Information Only,t,May-25
Traffic Hazard,Gilman Parking Structure,5/14/25,9:39 PM,Group of approximately 30 students obstructing vehs from entering and exiting top floor,Gone On Arrival,f,May-25
"Disturbance, Noise",Porton,5/14/25,10:16 PM,Loud music & possible party,Will Cooperate,f,May-25
Suspicious Person,San Diego Super Computer Center,5/14/25,11:46 PM,WMA possibly looking for a place to camp and looking into vehicles,Checks Ok,f,May-25
"Disturbance, Noise",Parking Lot P203,5/14/25,11:58 PM,Subjects inside a vehicle talking loudly,Quiet on Arrival,f,May-25
Information,Scripps Hospital La Jolla,6/28/25,7:47 PM,Patient is having issues with hospital staff,Referred to Other Agency,f,Jun-25
"Disturbance, Vehicle",North Torrey Pines Rd.,6/28/25,8:23 PM,"Road rage incident involving motorcycle, suspect vehicle already left area",Referred to Other Agency,t,Jun-25
Burglary,Mesa Apartments,6/29/25,6:30 AM,RP found male rummaging thru his moving pod,Report Taken,f,Jun-25
Shoplifting,Target- PC West,6/29/25,8:03 AM - 8:20 AM,"Loss $1,014.04",Report Taken,f,Jun-25
Injury,Piedra,6/29/25,12:31 PM,"Infant accidentally hit on head by RP's elbow previous night, infant now appears more sleepy than usual",Referred To Other Agency,f,Jun-25
Suspicious Person,Justice Lane,6/29/25,2:10 PM,Possible unhoused male on skateboard possibly looking for stuff to take,Disposition Checks Ok,t,Jun-25
Fire,Interstate 5 SB Off Ramp/ Carmel Valley Rd.,6/29/25,3:46 PM,Vegetation Fire,Referred to Other Agency,f,Jun-25
Suspicious Person,Blacks Beach On Blacks Beach Way,6/29/25,6:29 PM,"Unhoused male taking clothes off in parking lot, running and threatening people, occurred last week",Referred to Other Agency,t,Jun-25
Reckless Driving,Interstate 5 NB,6/29/25,6:30 PM,Street racing,Referred to Other Agency,f,Jun-25
Petty Theft- Micro Mobility Device,Trolley- Central Campus Station,6/29/25,3:00 PM - 7:00 PM,"Secured e-scooter stolen, loss $500.00",Online Report Filed,f,Jun-25
Suspicious Person,Grassy Knoll On La Jolla Farms Rd.,6/29/25,7:00 PM,"Per Security, male jumped over fence into restricted area, frequent issue",Unable To Locate,t,Jun-25
Illegal Camping,Vela,6/30/25,1:12 AM,Sleeper in lounge on 23rd floor,Will Cooperate,f,Jun-25
Burglary,Mesa Apartments Central,6/30/25,2:31 AM,RP mistakenly thought they hear break in noises to storage pod,Cancelled Before Dispatch,t,Jun-25
Suspicious Person,Social Sciences Building,6/30/25,4:46 AM,Unhoused male inside restroom,Field Interview,t,Jun-25
Report of Vandalism,Tamarack Apartments,6/30/25,11:43 AM,Perimeter door in lobby damaged,Cancelled,f,Jun-25
Citizen Assist,Athena Parking,6/30/25,11:48 AM,Elderly couple unable to locate vehicle,Unable to Locate,f,Jun-25
General Disturbance,Skaggs Pharmaceutical,6/30/25,1:44 PM,Female being confrontational with passersby,Service Provided,t,Jun-25
Vandalism,Thornton Pavilion,6/30/25,2:17 PM,Graffiti on wall and floor of Enterprise trailer shower,Report Taken,f,Jun-25
Vehicle Burglary,Pangea Parking,6/30/25,9:00 PM - 1:30 PM,"Unknown suspect(s) forced entry into victim's vehicle and stole multiple items, loss $660.01",Report Taken,t,Jun-25
Petty Theft - Micro Mobility Device,Price Center,6/30/25,2:36 PM,"Secured e-scooter stolen, loss $290.00",Report Taken,f,Jun-25
Petty Theft - Micro Mobility Device,Podemos,6/30/25,Unknown,"Secured e-scooter stolen, loss $250.00",Report Taken,f,Jun-25
Suspicious Person,Ridge Walk,6/30/25,10:27 PM,Male looking for place to camp,Field Interview,f,Jun-25
Welfare Check,Trolley - Central,7/1/25,12:01 AM,"4 calls from callbox, only heard ""phone dead and requesting officers""",Checks Ok,f,Jul-25
Suspicious Person,Moore's Cancer Center,7/1/25,12:06 AM,"Per security, suspicious person possibly looking to camp",Gone on Arrival,f,Jul-25
Noise Disturbance,Astilla,7/1/25,12:15 AM,Talking and laughing loudly,Will Cooperate,f,Jul-25
"Disturbance, Argument",One Miramar Street,7/1/25,2:45 AM,"Yelling in distress, possible fighting",Checks Ok,f,Jul-25
Welfare Check,Galbraith Hall,7/1/25,3:25 AM,"Friend took 5 Mili grams of anti anxiety meds and went to sleep, making weird noises",Disposition Logged Event,t,Jul-25
Brandishing a Weapon,Genesee Avenue,7/1/25,1:59 PM,"Occurred on Trolley going southbound towards campus, subject with possible knife",Field Interview,f,Jul-25
Unknown Trouble,Torrey Pines Glider port,7/1/25,2:31 PM,"Requesting dump truck and help for an incision, RP refused paramedics multiple times, requesting PD",Logged Event,t,Jul-25
Suspicious Vehicle,Rimac Field,7/1/25,2:59 PM,Unknown vehicle was following RP to Warrant on Sunday 6/29/25 around 10:00 AM,Service Provided,t,Jul-25
Information,Mosaic,7/1/25,1:50 PM - 2:00 PM,RP was advised to call PD if they saw ex employee on campus,Report Taken,t,Jul-25
Reckless Driving,North Torrey Pines,7/1/25,5:42 PM,Vehicle almost hit RP's vehicle,Referred to Other Agency,t,Jul-25
Welfare Check,Jacobs Medical Center,7/1/25,Unknown,"Security advising unattended infant inside vehicle with windows rolled up, unknown if real",Checks OK/Report Taken,f,Jul-25
Battery,Sulpizio Family Cardiovascular Center,7/1/25,Unknown,Staff member bitten by patient,Report Taken,t,Jul-25
Welfare Check,Skaggs Pharmaceutical,7/1/25,8:51 PM,"Screaming heard, possible child's voice",Checks Ok,f,Jul-25
Noise Disturbance,Vela,7/1/25,9:58 PM,Loud tumbling,Will Cooperate,f,Jul-25
Attempt to Contact,Rya,7/1/25,10:22 PM,Son has not answered phone since Monday,Checks Ok,t,Jul-25
Citizen Flagdown,Rya,7/1/25,10:35 PM,"Possible disturbance, residents saying roommate has partner over and racial slurs were said",Checks Ok,t,Jul-25
Noise Disturbance,Artesa,7/1/25,10:40 PM,Group of people talking and playing ping pong,Will Cooperate,f,Jul-25
Suicide Attempt,Thornton Pavilion,7/1/25,11:23 PM,Subject inside emergency room wants to hurt self,Checks Ok,t,Jul-25
Suspicious Person,Powell - Focht,7/3/25,7:28 AM,Unhoused male sleeping underneath a desk,Gone on Arrival,f,Jul-25
Citizen Contact,Leichtag Family Foundation Biomed,7/3/25,10:24 AM,Reporting party requesting to speak to an officer regarding off campus resident dispute,Service Provided,f,Jul-25
Noise Disturbance,Marine Conservation,7/12/25,1:07 AM,Loud Music,Will Cooperate,f,Jul-25
"Disturbance, Noise",RYA,5/15/25,1:00 AM,People shouting,Student Conduct Referral,t,May-25
Campus Security Authority Report (CSA),UCSD Medical Center,5/15/25,1:56 AM,Simple Assault,Campus Security Report Filed,f,May-25
Injury,Pacific Hall,5/15/25,10:56 AM,"Subject fell, hit his head",Referred to Other Agency,f,May-25
Petty Theft- Micro Mobility,Brisa,5/15/25,6:00 PM - 10:47 AM,"Stolen electric scooter, loss is $350.00",Report Taken,f,May-25
Informational Report,Tenaya Hall,5/15/25,Unknown,Concerning threats made by rp's suitemate,Report Taken,t,May-25
Indecent Exposure,Price Center East,5/15/25,11:19 AM,Male was exposing himself to students and harassing people,Unable To Locate,t,May-25
Stay Away Order Issuance,Engineering Building,5/15/25,11:31 AM - 12:25 PM,Non- Affiliate male subject seen attempting to steal scooters from bike racks,Report Taken,f,May-25
Campus Security Authority Report (CSA),UCSD Residence Building,5/15/25,Unknown,Dating Violence,Campus Security Authority Report Filed,f,May-25
Grand Theft,Price Center West,5/15/25,Unknown,"An unknown subject cardiac science AED, loss is $3,000.00",Report Taken,f,May-25
Welfare Check,Hubbs Hall,5/15/25,12:31 PM,Male subject seen in the area bleeding near his right temple and appeared disheveled,Unable To Locate,t,May-25
Hit & Run Resulting In Injury,Muir Lane,5/15/25,12:00 PM - 12:30 PM,Pedestrian hit by an e-bike and injured leg,Report Taken,f,May-25
Injury,Taco Villa,5/15/25,12:37 PM,"Subject crashed her scooter, and injured her head",Report Taken,f,May-25
Petty Theft - Micro Mobility Device,Trolley- Central Campus Station,5/15/25,10:00 PM - 9:00 AM,"A secured electric scooter stolen, loss is $500.00",Report Taken,f,May-25
Welfare Check,North Torrey Pines Rd,5/15/25,5:19 PM,Female subject in the middle of the intersection,Referred to Other Agency,f,May-25
Welfare Check,Piedra,5/15/25,6:07 PM,Rp concerned for subject with history of self-harm and depression- San Diego Police Department,Checks Ok,t,May-25
"Disturbance, General",Athena Parking,5/15/25,6:12 PM,Road rage incident,Checks Ok,f,May-25
Petty Theft,Target,5/15/25,6:50 PM - 6:52 PM,"Subject took pop sockets and batteries, loss is $49.98",Report Taken,f,May-25
Petty Theft,Scholars Parking,5/15/25,8:00 PM - 7:30 PM,"A secured bicycle was stolen, loss is $250.00",Report Taken,f,May-25
Detention,Geneva Hall,5/15/25,9:52 PM - 10:21 PM,Subject was transported to the hospital for a mental health evaluation,Transported to Hospital,f,May-25
Suspicious Person,Catalyst,5/15/25,10:06 PM,Male subject knocking on doors asking for help,Referred to Other Agency,t,May-25
"Disturbance, Noise",Pepper Canyon,5/15/25,10:23 PM,"Next to the basketball courts, playing ball & being loud",Will Cooperate,f,May-25
"Disturbance, Noise",Stewart Hall,5/15/25,11:01 PM,Screaming and laughing,Student Conduct Referral,f,May-25
